Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADO,Andorra,EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,Angola,EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,United Arab Emirates,EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,Argentina,EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARM,Armenia,EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASM,American Samoa,EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,Austria,EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,Azerbaijan,EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDI,Burundi,EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEL,Belgium,EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEN,Benin,EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFA,Burkina Faso,EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGD,Bangladesh,EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGR,Bulgaria,EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHR,Bahrain,EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHS,"Bahamas, The",EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIH,Bosnia and Herzegovina,EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLR,Belarus,EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLZ,Belize,EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMU,Bermuda,EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOL,Bolivia,EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRA,Brazil,EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRB,Barbados,EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN,Brunei Darussalam,EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTN,Bhutan,EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,Botswana,EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAF,Central African Republic,EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAN,Canada,EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHE,Switzerland,EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHI,Channel Islands,EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHL,Chile,EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,China,EN.CLC.AERT,Annex-I emissions reduction target,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
